a	阿呵啊嗄腌吖錒锕
ai	瑷佁噯凒唉皧嘊挨躷嫒璦嗳僾瞹毐诶锿哀啀砹嬡曖埃娾蔼馤娭﨟餲伌騃鎄愛捱阨塧譺礙靄哎鱫碍暧靉藹皑敳鴱矮艾爱嗌昹薆壒鑀皚溰隘譪噫霭溾懓懝欸叆硋癌敱濭
an	馣广垵犴埯氨偣谙安闇鮟堓錌鹌諳铵媕痷貋鵪按侒峖桉銨葊鞌揞胺誝雸萻厂盦晻案蓭唵盫荌隌鶕玵婩韽屵罯豻俺菴暗黯腤庵洝岸儑啽鞍
ang	盎醠骯卬昂枊肮岇仰昻
ao	袄獓岙鏖謷璈鰲媼奡梎翱驁滶嶅隞翺擙夭澳媪襖嗷鼇嫯蔜奥熬敖墺坳嶴摮嗸芺奧抝謸懊镺岰廒骜嚣慠垇遨螯獒聱鳌艹軪鷔拗澚傲爊凹磝鏊柪翶厫
ba	鮁扷跁霸柭抜鈀八疤捌蚆妭伯叐胈爸垻壩魃羓覇罢癹芭耙靶罷杷茇欛叭拔哵粑鼥菝朳夿詙鲅把吧矲軷炦巴仈豝釟笆丷弝跋颰坝钯鲃灞岜玐
bai	猈犤柏稗襬伯粨百陌栢白拜呗竡败庍贁佰韛絔摆掰擺拝挀敗粺薭捭
ban	舨辬秚怑癍鳻瓣魬螁岅伴搬扳版般绊扮頒昄肦办攽颁半斑斒鉡靽柈瓪螌坂钣坢板褩鈑粄阪瘢姅辦闆絆拌班蝂湴
bang	梆磅邦幇傍幚綁搒挷浜谤蜯謗帮镑蚌棒绑牓玤塝邫艕稖捠鞤縍幫鎊棓蒡垹旁榜膀
bao	寚菢儤苞曝賲珤包堢飹闁宝勹媬雹饱襃靌髱鑤報宲窇鳵鸨孢鴇葆笣剥炮刨剝佨胞保藵怉瀑堡趵寳寶勽駂鉋骲曓煲爆蚫褓暴抱緥齙褒豹枹报飽铇虣犦袌鮑龅薄忁裦蕔鲍
bei	犕偝愂禙背僃軰辈臂苝揹鋇焙椑輩惫备贝倍碚桮藣邶褙骳卑俻誖蛽陂牬郥被呗梖杯碑憊備昁鄁柸鹎悖鞴狈鵯唄孛鉳钡鞁悲盃偹鐾棓珼貝糒琲狽蓓北
ben	笨泍奔渀贲錛桳楍夯翉撪逩坌捹锛本奙畚倴苯犇
beng	逬甮甏崩奟鞛泵菶祊綳蚌繃閍琫塴琣镚揼鏰甭迸嵭绷埄痭絣嘣伻蹦埲
bi	俾偪蓽萆髲鰏珌睥蹕詖綼贲鼻鎞迊鼊毴鲾辟鷩毙梐畁躄庳煏鏎陛鵖鐴沘碧诐闭彃蓖妣斃秕弼畀韠粊坒婢閟痹閉弻毞庇鄪楅縪夶必佊毕怭邲螕躃滗朇愎觱笓苾豍聛駜廦驆畢铋赑箅贔咇吡滭币皀皕繴幣荜榌避篳髀賁飶睤貱臂壁魓荸跸獘薜腷朼粃篦鉍蔽屄彼裨堛萞佖柀怶逼嬖狴襣濞妼罼疕哔貏鮅泌閇潷敝毖箆璧匕笔襅痺襞蜌奰舭鄙秘愊鷝箄嬶熚筆弊芘筚袐饆柲馝鄨啚湢禆嗶比鞸疪幤獙
bian	甂糄砭苄変緶贬缏碥峅箯牑辫覍鴘卞编边鞭昪蝙便徧辩揙煸弁鳊抃諚獱邊遍釆玣辮鞕萹鯿稨藊笾變扁鯾閞辡惼辯辨邉編忭褊猵貶炞籩变鍽窆艑汳匾汴辧
biao	鏢穮彪猋膘镳磦骠麃飈蔈熛臕髟儦謤颷爂瀌標嫑瘭飇滮俵标摽檦婊鋲表藨幖驫颮骉飊錶諘杓脿褾墂贆裱鳔镖飑淲飚飙飆鑣
bie	憋鱉别龞蛂襒莂癟別鼈蹩虌鳖彆徶蟞瘪
bin	濱霦梹彬臏豳椕玢鑌賓髕瀕傧殯缤賔蠙髩殡頻璸繽顮儐鬢鬂摈髌宾邠瑸擯镔濵斌虨檳膑鬓滨豩槟濒
bing	栟鞞並绠倂寎竝鉼庰靐丙垪饼仌邴稟餅昺栤陃昞偋棅屏摒眪炳苪掤窉併柄幷病鮩鈵抦蛃禀冫鞆兵冰怲秉誁氷傡槟餠并
bo	襮紴肑郣譒蔔伯舶蘗魄鈸脖嚗瓟般袹鮊癷僠馎狛餺侼啵驳渤糪髆铂波箔鎛鑮袰愽玻膊蕃礡挬淿煿秡孹癶盋碆僰馛泊餑簙钹博缽鲅袯礴鵓牔欂帛驋柏襏檗萡鋍髉撥胉鹁剥亳跛蹳趵砵擘播孛葧饽踣猼鲌鉢駁菠謈镈仢駮懪嶓艊拨钵勃搏鉑卜鱍簸浡馞瓝薄哱溊
bu	踄补餢郶勏峬鵏哺柨鈈吥廍誧鳪晡餔布簿錻捗鸔不轐歨怖堡醭咘篰埠埗瓿逋佈歩荹捕蔀钸卜部钚鈽步埔補庯悑巭卟
ca	礤礸擦遪嚓拆攃
cai	毝綵縩蔡猜寀婇跴棌裁踩彩採偲啋菜采倸宷埰財材纔睬财才
can	傪朁慙驂澯湌黲慘黪掺蠺憯篸惭飡儏璨穇燦粲蚕残參餐孱叄骖謲蠶爘惨慚嬠薒蝅叅喰殘灿参
cang	藏沧嵢臧蒼濸仓鑶螥鸧獊倉凔傖仺舱苍鶬艙滄賶伧
cao	糙蓸襙草鼜操撡螬褿曺騲艚懆鄵曹鏪槽愺漕肏慒嘈艸嶆
ce	箣萴蓛侧萗廁夨測厕冊恻粣拺笧敇側憡厠簎荝筴筞策惻测册
cen	涔梣嵾笒岑埁参
ceng	竲層层嶒曾噌蹭驓
cha	檫鍤衩揷餷楂诧偛艖侘杈喳扱差奼插汊嵖秅咤査叉詧槎镲扠鑔臿挿蹅岔剎茬碴銟馇茶搽靫嗏紁詫姹察垞猹疀刹查嚓锸
chai	訍喍犲侪肞虿钗釵袃祡蠆瘥豺柴囆芆茝拆差儕
chan	潹禅誗艬讇纒潺婵顫廛忏摌缠梴硟斺懺蝉羼鏟躔骣觇闡僝浐旵磛蟾摻蟬颤覘剗丳裧儃產劖嚵欃酁刬瀍苂燀儳瀺纏谗产蕆滻毚獑幝鑱讒閳辿醦巉襜湹蒇冁剷壥搀谄譂諂掺緾繟幨煘棎簅囅螹饞産懴摲孱灛镵攙单澶嬋鋋阐馋鋓鄽铲韂
